VersaoDataset,Algoritmo,MediaAcuracias,DesvioPadraoAcuracias
V3,NB-norm,0.647,0.003
V3,SVM-norm,0.855,0.003
V3,Bag-norm,0.855,0.003
V3,RF-norm,0.850,0.003
V3,ET-norm,0.843,0.003
V3,Ada-norm,0.846,0.003
V3,GB-norm,0.849,0.004
V4,LR-orig,0.831,0.004
V4,KNN-orig,0.821,0.003
V4,CART-orig,0.774,0.004
V4,NB-orig,0.796,0.005
V4,SVM-orig,0.829,0.003
V4,Bag-orig,0.833,0.003
V4,RF-orig,0.836,0.003
V4,ET-orig,0.834,0.003
V4,Ada-orig,0.838,0.003
V4,GB-orig,0.840,0.004
V4,LR-padr,0.836,0.003
V4,KNN-padr,0.822,0.002
V4,CART-padr,0.774,0.004
V4,NB-padr,0.796,0.005
V4,SVM-padr,0.840,0.003
V4,Bag-padr,0.833,0.002
V4,RF-padr,0.836,0.003
V4,ET-padr,0.834,0.003
V4,Ada-padr,0.838,0.003
V4,GB-padr,0.840,0.004
V4,LR-norm,0.836,0.003
V4,KNN-norm,0.823,0.003
V4,CART-norm,0.774,0.004
V4,NB-norm,0.796,0.005
V4,SVM-norm,0.839,0.003
V4,Bag-norm,0.833,0.003
V4,RF-norm,0.836,0.003
V4,ET-norm,0.833,0.003
V4,Ada-norm,0.838,0.003
V4,GB-norm,0.840,0.004
V5,LR-orig,0.841,0.003
V5,KNN-orig,0.835,0.003
V5,CART-orig,0.783,0.004
V5,NB-orig,0.803,0.004
V5,SVM-orig,0.818,0.001
V5,Bag-orig,0.853,0.003
V5,RF-orig,0.853,0.003
V5,ET-orig,0.853,0.003
V5,Ada-orig,0.845,0.003
V5,GB-orig,0.848,0.004
V5,LR-padr,0.842,0.003
V5,KNN-padr,0.834,0.003
V5,CART-padr,0.783,0.003
V5,NB-padr,0.803,0.004
V5,SVM-padr,0.851,0.003
V5,Bag-padr,0.853,0.003
V5,RF-padr,0.853,0.003
V5,ET-padr,0.853,0.003
V5,Ada-padr,0.845,0.003
V5,GB-padr,0.848,0.004
V5,LR-norm,0.842,0.003
V5,KNN-norm,0.834,0.003
V5,CART-norm,0.783,0.004
V5,NB-norm,0.803,0.004
V5,SVM-norm,0.845,0.003
V5,Bag-norm,0.852,0.003
V5,RF-norm,0.853,0.003
V5,ET-norm,0.853,0.004
V5,Ada-norm,0.845,0.003
V5,GB-norm,0.848,0.004
V6,LR-orig,0.838,0.003
V6,KNN-orig,0.827,0.004
V6,CART-orig,0.777,0.003
V6,NB-orig,0.812,0.004
V6,SVM-orig,0.834,0.002
V6,Bag-orig,0.843,0.003
V6,RF-orig,0.845,0.002
V6,ET-orig,0.843,0.003
V6,Ada-orig,0.843,0.004
V6,GB-orig,0.846,0.004
V6,LR-padr,0.841,0.003
V6,KNN-padr,0.826,0.003
V6,CART-padr,0.777,0.004
V6,NB-padr,0.812,0.004
V6,SVM-padr,0.845,0.003
V6,Bag-padr,0.843,0.003
V6,RF-padr,0.846,0.002
V6,ET-padr,0.843,0.003
V6,Ada-padr,0.843,0.004
V6,GB-padr,0.846,0.004
V6,LR-norm,0.842,0.003
V6,KNN-norm,0.828,0.003
V6,CART-norm,0.776,0.003
V6,NB-norm,0.812,0.004
V6,SVM-norm,0.843,0.003
V6,Bag-norm,0.843,0.003
V6,RF-norm,0.845,0.003
V6,ET-norm,0.843,0.003
V6,Ada-norm,0.843,0.004
V6,GB-norm,0.846,0.004
V7,LR-orig,0.840,0.003
V7,KNN-orig,0.830,0.003
V7,CART-orig,0.782,0.003
V7,NB-orig,0.803,0.005
V7,SVM-orig,0.819,0.002
V7,Bag-orig,0.845,0.004
V7,RF-orig,0.848,0.004
V7,ET-orig,0.847,0.003
V7,Ada-orig,0.842,0.003
V7,GB-orig,0.846,0.004
V7,LR-padr,0.841,0.003
V7,KNN-padr,0.831,0.003
V7,CART-padr,0.782,0.003
V7,NB-padr,0.803,0.005
V7,SVM-padr,0.846,0.003
V7,Bag-padr,0.845,0.003
V7,RF-padr,0.848,0.003
V7,ET-padr,0.847,0.004
V7,Ada-padr,0.842,0.003
V7,GB-padr,0.846,0.004
V7,LR-norm,0.841,0.003
V7,KNN-norm,0.832,0.002
V7,CART-norm,0.782,0.003
V7,NB-norm,0.803,0.005
V7,SVM-norm,0.843,0.003
V7,Bag-norm,0.845,0.003
V7,RF-norm,0.848,0.003
V7,ET-norm,0.847,0.003
V7,Ada-norm,0.842,0.003
V7,GB-norm,0.846,0.004
